Size	Connectance	Basal_p	Network	Species	Persistence	in_Degree	out_Degree	STL	m12	m36	m38	m6	p(12, 0, 1)	p(12, 1, 0)	p(12, 1, 1)	p(36, 0, 1)	p(36, 2, 0)	p(38, 0, 2)	p(38, 1, 1)	p(38, 2, 0)	p(6, 0, 2)	p(6, 1, 0)
260	0.024	0.0	kongsfjorden	"sp171"	0.80901	2	1	2	5	274	0	78	0	3	2	274	0	0	0	0	1	77
260	0.024	0.0	kongsfjorden	"sp149"	0.80957	1	1	2	4	168	0	77	0	3	1	168	0	0	0	0	0	77
260	0.024	0.0	kongsfjorden	"sp101"	0.80802	2	2	2	11	274	1	95	0	7	4	274	0	0	0	1	1	94
260	0.024	0.0	kongsfjorden	"sp185"	0.90034	0	7	1	58	17	4	147	0	58	0	0	17	0	0	4	0	147
260	0.024	0.0	kongsfjorden	"sp228"	0.80911	21	10	2	232	298	22	423	0	22	210	275	23	0	0	22	210	213
260	0.024	0.0	kongsfjorden	"sp94"	0.89928	0	6	1	53	12	3	140	0	53	0	0	12	0	0	3	0	140
260	0.024	0.0	kongsfjorden	"sp213"	0.89942	0	16	1	37	117	3	317	0	37	0	0	117	0	0	3	0	317
260	0.024	0.0	kongsfjorden	"sp200"	0.80945	1	7	2	54	177	12	113	0	52	2	163	14	0	5	7	0	113
260	0.024	0.0	kongsfjorden	"sp246"	0.81005	1	13	2	52	224	22	170	0	39	13	168	56	0	0	22	0	170
260	0.024	0.0	kongsfjorden	"sp61"	0.89983	0	15	1	36	102	3	314	0	36	0	0	102	0	0	3	0	314
260	0.024	0.0	kongsfjorden	"sp29"	0.80367	20	2	2	50	450	2	238	4	6	40	449	1	2	0	0	188	50
260	0.024	0.0	kongsfjorden	"sp74"	0.81279	18	2	2	40	433	1	208	0	5	35	432	1	0	1	0	153	55
260	0.024	0.0	kongsfjorden	"sp11"	0.80908	1	1	2	4	168	0	77	0	3	1	168	0	0	0	0	0	77
260	0.024	0.0	kongsfjorden	"sp50"	0.81069	1	6	2	47	59	14	65	0	45	2	54	5	0	4	10	0	65
260	0.024	0.0	kongsfjorden	"sp81"	0.8091	1	2	2	6	168	1	55	0	5	1	167	1	0	1	0	0	55
